LSI	Toronto	CA	Residence	Casa Residences	Single	Shared	HB	490	280	0												
LSI	Toronto	CA	Residence	Casa Residences	Twin	Shared	HB	390	280	0												
LSI	Vancouver	CA	Homestay	Homestay	Single	Shared	HB	310	230	0	16	15	40	14/06/2026	23/08/2026	55	20/12/2026	2/1/2027				
LSI	Vancouver	CA	Homestay	Homestay	Twin	Shared	HB	285	230	0	16	15	40	14/06/2026	23/08/2026	55	20/12/2026	2/1/2027				
LSI	Vancouver	CA	Residence	Hotel Willo	Single	Shared	HB	830	230	0			130	14/06/2026	23/08/2026							
LSI	Vancouver	CA	Residence	Hotel Willo	Twin	Private	HB	620	230	0			130	14/06/2026	23/08/2026							
LSI	Auckland	NZ	Homestay	Homestay	Single	Shared	HB	410	330	100	14	20				90	20/12/2026	2/1/2027				
LSI	Auckland	NZ	Homestay	Homestay	Twin	Shared	HB	410	330	100	14	20				90	20/12/2026	2/1/2027				
LSI	Auckland	NZ	Residence	YMCA	Single	Shared	SC	505	330	0												
LSI	Auckland	NZ	Residence	YMCA	Twin	Shared	SC	320	330	0												
LSI	Auckland	NZ	Studio 	Park Towers	Studio	Private	SC	335	430	0												
LSI	Brisbane	AU	Homestay	Homestay	Single	Shared	HB	410	300	0	16	105										
LSI	Brisbane	AU	Homestay	Homestay	Twin	Shared	HB	405	300	0	16	105										
LSI	Brisbane	AU	Student House	Adalong Student Guesthouse	Single	Shared	HB	300	300	0												
LSI	Paris	FR	Homestay	Homestay	Single	Shared	HB	420	115	0	16	0										
LSI	Paris	FR	Homestay	Homestay	Twin	Shared	HB	375	115	0	16	0										
LSI	Zurich	CH	Homestay	Homestay 	Single	Shared	HB	470	135	0	16	0										
LSI	Zurich	CH	Homestay	Homestay	Twin	Shared	HB	365	135	0	16	0										
LSI	Zurich	CH	Residence	Maximilianeum 13	Single	Private	SC	630	135	0												
Central Language School	Cambridge	UK	Homestay	Homestay 	Single	Shared	HB	215	60													
Central Language School	Cambridge	UK	Homestay	Homestay 	Single	Shared	SC	160	60													
Inlingua 	Cheltenham	UK	Homestay	Homestay 	Single	Shared	HB	215	40	0	16	0	25	28/06/2026	29/08/2026	50	19/12/2026	09/01/2027				
Inlingua 	Cheltenham	UK	Homestay	Homestay 	Single	Private	HB	265	40	0	16	0	25	28/06/2026	29/08/2026	50	19/12/2026	09/01/2027				
Inlingua 	Cheltenham	UK	Homestay	Homestay 	Single	Shared	FB	240	40	0	16	0	25	28/06/2026	29/08/2026	50	19/12/2026	09/01/2027				
Inlingua 	Cheltenham	UK	Homestay	Homestay 	Single	Private	FB	290	40	0	16	0	25	28/06/2026	29/08/2026	50	19/12/2026	09/01/2027				
Kings Hall College	Manchester	UK	Homestay	Homestay 	Single	Shared	SC	170	70	0	16	30	30	13/06/2026	15/08/2026							
Kings Hall College	Manchester	UK	Homestay	Homestay 	Twin	Shared	HB	190	70	0	16	30	30	13/06/2026	15/08/2026							
Kings Hall College	Manchester	UK	Homestay	Homestay 	Single	Shared	HB	210	70	0	16	30	30	13/06/2026	15/08/2026							
Kings Hall College	Manchester	UK	Homestay	Homestay 	Single	Private	FB	280	70	0	16	30	30	13/06/2026	15/08/2026							
Kings Hall College	Manchester	UK	Residence	Residence	Single	Private	SC	290	70	0	16	30	30	13/06/2026	15/08/2026							
Lewis School of English	Southampton	UK	Homestay	Regular Homestay	Single	Shared	HB	190	0	0	16	0	20	20/06/2026	01/08/2026							
Lewis School of English	Southampton	UK	Homestay	Regular Homestay	Single	Shared	FB	210	0	0	16	0	20	20/06/2026	01/08/2026							
Lewis School of English	Southampton	UK	Homestay	Executive Homestay	Single	Private	HB	236	0	0	16	0	20	20/06/2026	01/08/2026							
