LSI	New York	US	TOEFL Exam Preparation	Academic English 30	25	30	B2	16	0	185						1	660.00	4	625.00	12	595.00	24	545.00					
LSI	Boston	US	General English	General 20	16.7	20	A1	16	0	185						1	495.00	4	475.00	12	445.00	24	410.00					
LSI	Boston	US	Semi-Intensive English	Intensive 25	20.8	25	A1	16	0	185						1	565.00	4	535.00	12	505.00	24	470.00					
LSI	Boston	US	Intensive English	Intensive 30	25	30	A1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Boston	US	Academic English	Academic English 30	25	30	B1	16	0	185						12	565.00	24	515.00									
LSI	Boston	US	IELTS Exam Preparation	IELTS 30	25	30	B1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Boston	US	TOEFL Exam Preparation	TOEFL 30	25	30	B2	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	San Diego	US	General English	General 20	16.7	20	A1	16	0	185						1	495.00	4	475.00	12	445.00	24	410.00					
LSI	San Diego	US	Semi-Intensive English	Intensive 25	20.8	25	A1	16	0	185						1	565.00	4	535.00	12	505.00	24	470.00					
LSI	San Diego	US	Intensive English	Intensive 30	25	30	A1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	San Diego	US	Academic English	Academic English 30	25	30	B1	16	0	185						12	565.00	24	515.00									
LSI	San Diego	US	IELTS Exam Preparation	IELTS 30	25	30	B1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	San Diego	US	TOEFL Exam Preparation	TOEFL 30	25	30	B2	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Berkeley	US	General English	General 20	16.7	20	A1	16	0	185						1	495.00	4	475.00	12	445.00	24	410.00					
LSI	Berkeley	US	TOEFL Exam Preparation	TOEFL 20	16.7	20	B1	16	0	185						1	565.00	4	535.00	12	505.00	24	470.00					
LSI	Berkeley	US	Intensive English	Intensive 30	25	30	A1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Berkeley	US	Academic English	Academic English 30	25	30	B1	16	0	185						12	565.00	24	515.00									
LSI	Berkeley	US	IELTS Exam Preparation	IELTS 30	25	30	B1	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Berkeley	US	TOEFL Exam Preparation	TOEFL 30	25	30	B2	16	0	185						1	630.00	4	600.00	12	565.00	24	515.00					
LSI	Toronto	CA	General English	General 20	16.7	20	A1	16	0	175						1	435.00	4	420.00	12	410.00	24	390.00					
LSI	Toronto	CA	TOEFL Exam Preparation	TOEFL 20	16.7	20	B1	16	0	175						1	435.00	4	420.00	12	420.00							
LSI	Toronto	CA	IELTS Exam Preparation	IELTS 20	16.7	20	B1	16	0	175						1	435.00	4	420.00	12	420.00							
LSI	Toronto	CA	Semi-Intensive English	Intensive 25	20.8	25	A1	16	0	175						1	480.00	4	470.00	12	460.00	24	430.00					
LSI	Toronto	CA	Intensive English	Intensive 30	25	30	A1	16	0	175						1	520.00	4	510.00	12	500.00	24	470.00					
LSI	Toronto	CA	Academic English	Academic English 30	25	30	B1	16	0	175						12	500.00	24	470.00									
LSI	Toronto	CA	IELTS Exam Preparation	IELTS 30	25	30	B1	16	0	175						1	520.00	4	510.00	12	500.00	24	470.00					
LSI	Toronto	CA	TOEFL Exam Preparation	TOEFL 30	25	30	B2	16	0	175						1	520.00	4	510.00	12	500.00	24	470.00					
LSI	Vancouver	CA	General English	General 20	16.7	20	A1	16	0	175						1	435.00	4	420.00	12	410.00	24	390.00					
LSI	Vancouver	CA	TOEFL Exam Preparation	TOEFL 20	16.7	20	B1	16	0	175						1	435.00	4	420.00	12								
LSI	Vancouver	CA	IELTS Exam Preparation	IELTS 20	16.7	20	B1	16	0	175						1	435.00	4	420.00	12								
LSI	Vancouver	CA	Semi-Intensive English	Intensive 25	20.8	25	A1	16	0	175						1	480.00	4	470.00	12	460.00	24	430.00					
LSI	Vancouver	CA	Intensive English	Intensive 30	25	30	A1	16	0	175						1	520.00	4	510.00	12	500.00	24	470.00					
